Name,Discount,New Price,Old Price,Positive Reviews,Number of Reviews
Content Pack - Europa Universalis IV: The Cossacks,50,14.49,28.99,52.0,25.0
Unity of Command II,50,53.99,107.99,81.0,816.0
Expansion - Europa Universalis IV: Res Publica,50,8.99,17.99,43.0,139.0
Deep Rock Galactic - MegaCorp Pack,35,18.84,28.99,94.0,134.0
Carmageddon Max Pack,80,7.19,35.99,83.0,287.0
Pinball FX3 - Balls of Glory Pinball,66,12.23,35.99,80.0,20.0
Dogfight 1942,80,7.19,35.99,76.0,401.0
Homefront®: The Revolution - The Guerrilla Care Package,60,7.19,17.99,,
Car Mechanic Simulator 2015 - Total Modifications,83,1.86,10.99,73.0,103.0
Europa Universalis IV: Pre-Order Pack,50,12.74,25.49,47.0,21.0
Door in the Woods,50,17.99,35.99,77.0,171.0
Dying Light - Ultimate Survivor Bundle,33,10.71,15.99,78.0,475.0
Charlie the Duck,33,17.07,25.49,73.0,15.0
Deep Rock Galactic: Deluxe Edition,42,97.09,165.97,97.0,62744.0
Car Mechanic Simulator 2015 - Performance DLC,90,1.79,17.99,88.0,125.0
Content Pack - Europa Universalis IV: El Dorado,50,10.99,21.99,58.0,39.0
Charlie II,33,29.47,43.99,,
Rise of Venice,70,21.59,71.99,59.0,270.0
Coffin of Ashes,50,12.74,25.49,93.0,498.0
Dying Light - Shu Warrior Bundle,33,7.36,10.99,90.0,164.0
Ancient Frontier,80,17.99,89.99,65.0,89.0
Broken Lines,50,44.99,89.99,78.0,427.0
FortressCraft Evolved!,80,9.39,46.99,73.0,2371.0
Arcanum: Of Steamworks and Magick Obscura,35,16.53,25.44,87.0,920.0
Jagged Alliance: Rage!,80,15.99,79.99,48.0,283.0
Sakura Succubus Bundle,53,67.64,143.96,85.0,387.0
Slain: Back from Hell,75,11.74,46.99,70.0,1259.0
Homefront®: The Revolution - The Revolutionary Spirit Pack,60,7.19,17.99,,
Frostpunk: Season Pass,30,88.17,125.97,60.0,2322.0
Gloria Victis - Official Soundtrack,60,13.99,34.99,92.0,14.0
Phantom Doctrine - Deluxe Edition,82,32.91,178.98,76.0,2548.0
The Long Journey Home,90,10.79,107.99,61.0,1067.0
Content Pack - Europa Universalis IV: Common Sense,50,10.99,21.99,58.0,62.0
Deep Rock Galactic - Original Soundtrack Volume I + II,35,23.39,35.99,96.0,99.0
Monster Jam Power Out Bundle,49,120.9,237.45,71.0,196.0
Legendary Knight - 傳奇騎士,50,10.99,21.99,95.0,63.0
Pathologic Classic HD,90,4.69,46.99,87.0,1689.0
Alien Rage - Unlimited,85,10.79,71.99,68.0,1093.0
Scarlett Mysteries: Cursed Child,70,10.79,35.99,86.0,126.0
Submerged,90,7.19,71.99,74.0,3459.0
BioShock Infinite,75,32.22,128.9,95.0,79312.0
Car Mechanic Simulator 2015 - Mercedes-Benz,90,2.19,21.99,83.0,48.0
魔帝1 Magic Emperor1,17,27.38,32.99,,
Car Mechanic Simulator 2015 - Maserati,90,2.19,21.99,85.0,48.0
Immersion Pack - Europa Universalis IV: Rule Britannia,50,17.99,35.99,74.0,216.0
CryoFall Supporter Bundle,68,24.01,74.98,79.0,1987.0
Iron Danger Supporter Pack,50,17.49,34.99,,
Fated Kingdom,70,10.79,35.99,82.0,252.0
Frozenbyte Collection 2019,82,92.79,507.43,88.0,39038.0
Tiny Room Stories: Town Mystery,10,32.39,35.99,85.0,21.0
Car Mechanic Simulator 2015 - Car Stripping,50,1.79,3.59,74.0,110.0
Witch It,50,34.99,69.99,88.0,7227.0
Golf Peaks,50,8.99,17.99,94.0,152.0
Hunt: Showdown - Double or Nothing,65,10.14,28.99,80.0,94.0
Sakura Sadist,75,8.99,35.99,86.0,236.0
Ghoulboy - Dark Sword of Goblin,70,8.69,28.99,82.0,87.0
Business tour. Crazy Heroes: Rainbow mercenary,90,2.89,28.99,,
Content Pack - Europa Universalis IV: Emperor,50,10.99,21.99,56.0,37.0
Content Pack - Europa Universalis IV: Cradle of Civilization,50,14.49,28.99,42.0,21.0
Survivalist Bundle,50,21.58,43.48,84.0,3242.0
Dying Light - Harran Ranger Bundle,33,6.69,9.99,90.0,238.0
League of Maidens® Ultimate Edition,10,97.19,107.99,58.0,34.0
Balrum,75,12.49,49.99,76.0,424.0
Homefront®: The Revolution - The Combat Stimulant Pack,60,4.39,10.99,,
Homefront®: The Revolution - The Liberty Pack,60,4.39,10.99,,
Sanator: Scarlet Scarf MAGISTER EDITION,72,20.27,72.47,90.0,200.0
Iron Danger,75,24.99,99.99,79.0,267.0
Dying Light - Rais Elite Bundle,33,7.36,10.99,90.0,84.0
Sea of Solitude,70,20.97,69.9,87.0,434.0
Dying Light - Vintage Gunslinger Bundle,33,6.69,9.99,87.0,123.0
Artifact Adventure Gaiden,80,7.19,35.99,84.0,39.0
City of the Shroud,90,7.19,71.99,,
MotoGP™14,80,7.19,35.99,52.0,341.0
Rime Berta,80,10.79,53.99,70.0,85.0
Dying Light: Season Pass,66,33.99,99.99,70.0,489.0
The Architect: Paris,15,55.16,64.9,80.0,70.0
Xpand Rally,80,3.19,15.99,77.0,240.0
The Chronicles of Nyanya,75,12.49,49.99,96.0,60.0
Content Pack - Europa Universalis IV: Dharma,50,14.49,28.99,64.0,14.0
Color Symphony 2,81,6.83,35.99,86.0,38.0
Europa Universalis IV: Native Americans Unit Pack,50,3.59,7.19,42.0,26.0
Little Big Workshop,33,53.59,79.99,87.0,1595.0
The Quest - Islands of Ice and Fire,50,12.74,25.49,,
"BEARS, VODKA, BALALAIKA! 🐻",25,5.39,7.19,90.0,1317.0
Wreckfest - Retro Rammers Car Pack,40,9.59,15.99,90.0,31.0
Shine's Adventures 2 (Zombie Attack),40,6.59,10.99,95.0,92.0
Gloria Victis - Supporter Bundle,58,59.33,140.97,70.0,4324.0
Car Mechanic Simulator 2015 - DeLorean,87,1.88,14.49,92.0,67.0
Dying Light - Harran Inmate Bundle,33,7.36,10.99,97.0,38.0
Russian Life Simulator,50,1.79,3.59,91.0,3153.0
MXGP - The Official Motocross Videogame Compact,70,5.39,17.99,73.0,124.0
Dying Light - 5th Anniversary Bundle,33,7.36,10.99,90.0,66.0
Deep Rock Galactic - Dark Future Pack,35,18.84,28.99,91.0,154.0
Car Mechanic Simulator 2015 - PickUp & SUV,83,1.86,10.99,91.0,101.0
Homefront: The Rock Map Pack,50,5.49,10.99,,
Car Mechanic Simulator 2015 - Visual Tuning,75,1.79,7.19,,
Love Esquire - RPG/Dating Sim/Visual Novel,25,67.49,89.99,91.0,688.0
Content Pack - Europa Universalis IV: Rights of Man,50,10.99,21.99,60.0,20.0
PRINCIPIA: Master of Science,70,10.79,35.99,71.0,211.0
Sexy Jigsaw | 性感拼图 | 섹시 퍼즐 | セクシーなパズル,50,7.24,14.49,84.0,158.0
Starpoint Gemini 2: Collector's Upgrade,60,10.19,25.49,,
Car Mechanic Simulator 2015 - Trader Pack,87,1.88,14.49,92.0,91.0
Europa Universalis IV: Colonial British and French Unit pack,50,3.59,7.19,56.0,16.0
Europa Universalis IV: Republican Music Pack,50,3.59,7.19,65.0,26.0
Aperture Tag: The Paint Gun Testing Initiative,80,3.59,17.99,80.0,4147.0
ONWARD into SUPERHOT SUNSHINE,41,189.39,322.97,82.0,15810.0
Coming Out on Top,40,32.39,53.99,95.0,905.0
RUNNING WITH RIFLES: PACIFIC,80,7.19,35.99,70.0,203.0
Strategic Mind: The Pacific,40,64.79,107.99,76.0,412.0
Cally's Caves 3,80,5.09,25.49,82.0,299.0
Monster Jam Steel Titans - Fire & Ice Truck Bundle,75,3.62,14.49,,
Bright Memory,20,28.79,35.99,92.0,24061.0
Car Mechanic Simulator 2014,90,2.54,25.49,81.0,3594.0
Hadean Tactics,15,55.24,64.99,94.0,37.0
Homefront®: The Revolution - The Wing Skull Pack,60,4.39,10.99,,
Homefront: Fire Sale Map,60,4.39,10.99,54.0,11.0
Viking Story,40,2.15,3.59,94.0,17.0
Desktop Farm,20,5.75,7.19,79.0,397.0
Adventure Bit,40,4.31,7.19,,
Survivor Dieland,40,4.31,7.19,94.0,57.0
Call to Arms - Season Pass,75,26.99,107.99,60.0,25.0
Labyronia Elements,75,8.99,35.99,75.0,16.0
Call to Arms - Upgrade to Ultimate Edition,75,35.74,142.99,73.0,100.0
This Is the Police Bundle,74,29.05,109.98,81.0,10284.0
This Is the Police,75,12.49,49.99,83.0,6873.0
Pretty Angel,40,2.15,3.59,93.0,2073.0
Phantom Doctrine - Deluxe Edition Upgrade,80,7.19,35.99,,
Escape The Ordinary: Tales of Romina Manor,40,2.15,3.59,,
Back to Bed,90,2.19,21.99,76.0,371.0
Pretty Neko,40,2.15,3.59,94.0,1619.0
CryoFall - Supporter Pack,40,8.99,14.99,93.0,15.0
Music - Europa Universalis IV: The Rus Awakening,50,3.59,7.19,80.0,15.0
Xpand Rally Xtreme,80,3.19,15.99,75.0,152.0
ShadowSide,90,3.59,35.99,66.0,228.0
Blame Him,90,5.39,53.99,50.0,75.0
Hero of the Kingdom: The Lost Tales 1,75,4.49,17.99,91.0,563.0
Deep Rock Galactic - Supporter Upgrade,35,35.09,53.99,98.0,462.0
Vaporwave World,50,5.49,10.99,,
PhysDrive,50,1.79,3.59,41.0,77.0
Xpand Rally Bundle,82,5.74,31.98,76.0,391.0
VCB: Why City 4k,89,1.79,16.66,84.0,591.0
Caves of Qud,10,48.59,53.99,95.0,3265.0
God's Triggers O.M.G. Extras,65,6.29,17.99,,
LiEat Rearrange Soundtrack,30,7.69,10.99,,
Deep Rock Galactic: Dwarven Legacy,45,171.33,313.93,97.0,63574.0
